SMILES,pIC50,mol,num_atoms,logP
O=S(=O)(Nc1cccc(-c2cnc3ccccc3n2)c1)c1cccs1,4.26,<rdkit.Chem.rdchem.Mol object at 0x7f59df45bc30>,25,4.159100000000002
O=c1cc(-c2nc(-c3ccc(-c4cn(CCP(=O)(O)O)nn4)cc3)[nH]c2-c2ccc(F)cc2)cc[nH]1,4.34,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c9e0>,36,3.6743000000000015
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCCO,4.53,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cac0>,23,1.5361
NCCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,4.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cba0>,22,0.9509999999999998
CNC(=S)Nc1cccc(-c2cnc3ccccc3n2)c1,4.59,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c7b0>,21,3.213000000000001
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)C1CC1,4.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ca50>,22,3.6453000000000024
O=C(Nc1cccc(-c2cnc3ccccc3n2)c1)c1ccco1,4.61,<rdkit.Chem.rdchem.Mol object at 0x7f59a320c740>,24,4.142100000000002
COc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)cc(OC)c1OC,4.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cc10>,26,4.566400000000004
CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,4.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cc80>,33,3.323500000000002
COc1ccc2c(c1)C(=O)N(c1nc(C(=O)Nc3cnccc3N3CCNCC3)cs1)C2,4.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ccf0>,32,2.3689999999999998
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cd60>,22,2.151
CS(=O)(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cdd0>,21,2.6683000000000003
NCCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.73,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ce40>,23,1.5024999999999993
N#CCC(=O)Nc1cccc(-c2cnc3ccccc3n2)c1,4.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ceb0>,22,3.1489800000000017
O=C(CN1CCN(c2ccccc2)CC1)Nc1cccc(-c2cnc3ccccc3n2)c1,4.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cf20>,32,4.057500000000003
NS(=O)(=O)OCCn1cnc2c(Nc3ccc(F)cc3)nc(NCc3ccc(C4CCCCC4)cc3)nc21,4.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cf90>,38,4.588900000000004
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d000>,26,4.122700000000002
COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d070>,27,3.992200000000002
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,4.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d0e0>,29,4.3804000000000025
COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,4.83,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d150>,26,3.744600000000003
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,4.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d1c0>,27,4.219400000000002
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,4.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d230>,25,3.259900000000001
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,4.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d2a0>,21,1.1558999999999993
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,4.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d310>,27,3.789100000000002
NC(=O)c1cnc(NC2CCC(N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,4.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d380>,27,2.830400000000001
CCCCN(C)c1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O,4.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d3f0>,26,3.125320000000001
CC(O)Cn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d460>,23,1.5345
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(F)c1,4.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d4d0>,27,3.789100000000002
FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,4.94,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d540>,22,4.436600000000002
O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d5b0>,31,3.191200000000001
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d620>,25,3.7493000000000007
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d690>,41,6.822800000000006
COc1ccc(-c2nc3[nH]cc(C(N)=O)c(NCC4CCN(C)CC4)c-3n2)cc1,4.99,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d700>,29,2.4377000000000004
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d770>,35,3.449200000000001
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1OC,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d7e0>,29,4.000800000000003
COc1ccc(-c2nc3[nH]cc(Cl)c(OCC4CCNCC4)c-3n2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d850>,26,3.616900000000002
C=Cc1nc(NC(=O)Nc2ccc(N3CCNCC3)cc2)nn1C(=C)c1ccc(S(C)(=O)=O)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d8c0>,35,2.8972000000000016
COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d930>,28,5.167300000000003
COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d9a0>,24,4.148500000000003
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da10>,28,3.5081000000000016
CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da80>,28,3.5081000000000016
CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320daf0>,32,3.3800000000000017
