From,Entry,Entry Name,Gene Names
9606.ENSP00000000233,P84085,ARF5_HUMAN,ARF5
9606.ENSP00000000412,P20645,MPRD_HUMAN,M6PR MPR46 MPRD
9606.ENSP00000001008,Q02790,FKBP4_HUMAN,FKBP4 FKBP52
9606.ENSP00000001146,Q9NR63,CP26B_HUMAN,CYP26B1 CYP26A2 P450RAI2
9606.ENSP00000002125,Q7L592,NDUF7_HUMAN,NDUFAF7 C2orf56 PRO1853
9606.ENSP00000002165,Q9BTY2,FUCO2_HUMAN,FUCA2 PSEC0151 UNQ227/PRO260
9606.ENSP00000002596,O14792,HS3S1_HUMAN,HS3ST1 3OST 3OST1
9606.ENSP00000002829,Q13275,SEM3F_HUMAN,SEMA3F
9606.ENSP00000003084,P13569,CFTR_HUMAN,CFTR ABCC7
9606.ENSP00000003100,Q16850,CP51A_HUMAN,CYP51A1 CYP51
9606.ENSP00000003302,Q96RU2,UBP28_HUMAN,USP28 KIAA1515
9606.ENSP00000004531,P52569,CTR2_HUMAN,SLC7A2 ATRC2 CAT2
9606.ENSP00000005178,Q16654,PDK4_HUMAN,PDK4 PDHK4
9606.ENSP00000005226,E9PNW1,E9PNW1_HUMAN,USH1C
9606.ENSP00000005257,P11233,RALA_HUMAN,RALA RAL
9606.ENSP00000005260,Q9UHR4,BI2L1_HUMAN,BAIAP2L1 IRTKS
9606.ENSP00000005284,O60359,CCG3_HUMAN,CACNG3
9606.ENSP00000005286,Q24JP5,T132A_HUMAN,TMEM132A HSPA5BP1 KIAA1583
9606.ENSP00000005340,O14641,DVL2_HUMAN,DVL2
9606.ENSP00000005386,Q9H6T3,RPAP3_HUMAN,RPAP3
9606.ENSP00000005587,O75563,SKAP2_HUMAN,SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R
9606.ENSP00000005995,Q9Y6M0,TEST_HUMAN,PRSS21 ESP1 TEST1 UNQ266/PRO303
9606.ENSP00000006015,P31270,HXA11_HUMAN,HOXA11 HOX1I
9606.ENSP00000006053,P78423,X3CL1_HUMAN,CX3CL1 FKN NTT SCYD1 A-152E5.2
9606.ENSP00000006275,O75865,TPC6A_HUMAN,TRAPPC6A HSPC289
9606.ENSP00000006526,Q9H977,WDR54_HUMAN,WDR54
9606.ENSP00000006658,Q8TB22,SPT20_HUMAN,SPATA20
9606.ENSP00000006724,Q14002,CEAM7_HUMAN,CEACAM7 CGM2
9606.ENSP00000006777,Q6NTF9,RHBD2_HUMAN,RHBDD2 RHBDL7
9606.ENSP00000007390,Q9UJK0,TSR3_HUMAN,TSR3 C16orf42 UND313L
9606.ENSP00000007414,Q9BZF2,OSBL7_HUMAN,OSBPL7 ORP7
9606.ENSP00000007699,Q9Y2T7,YBOX2_HUMAN,YBX2 CSDA3 MSY2
9606.ENSP00000007735,O76009,KT33A_HUMAN,KRT33A HHA3-I HKA3A KRTHA3A
9606.ENSP00000008391,Q7Z6R9,AP2D_HUMAN,TFAP2D TFAP2BL1
9606.ENSP00000008527,Q16526,CRY1_HUMAN,CRY1 PHLL1
9606.ENSP00000008938,O75594,PGRP1_HUMAN,PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269
9606.ENSP00000009041,O95772,STR3N_HUMAN,STARD3NL MENTHO UNQ855/PRO1864
9606.ENSP00000009105,Q96NX5,KCC1G_HUMAN,CAMK1G CLICK3 VWS1
9606.ENSP00000009530,P04233,HG2A_HUMAN,CD74 DHLAG
9606.ENSP00000010299,H0YKF0,H0YKF0_HUMAN,ETFA
9606.ENSP00000011292,P15085,CBPA1_HUMAN,CPA1 CPA
9606.ENSP00000011473,Q16563,SYPL1_HUMAN,SYPL1 SYPL
9606.ENSP00000011619,Q96S59,RANB9_HUMAN,RANBP9 RANBPM
9606.ENSP00000011653,P01730,CD4_HUMAN,CD4
9606.ENSP00000011898,O75954,TSN9_HUMAN,TSPAN9 NET5
9606.ENSP00000012049,Q9NXS2,QPCTL_HUMAN,QPCTL
9606.ENSP00000012443,P53041,PPP5_HUMAN,PPP5C PPP5
9606.ENSP00000013070,Q8N806,UBR7_HUMAN,UBR7 C14orf130
9606.ENSP00000013125,Q9Y4K4,M4K5_HUMAN,MAP4K5
9606.ENSP00000013222,O95050,INMT_HUMAN,INMT
9606.ENSP00000013807,P07992,ERCC1_HUMAN,ERCC1
9606.ENSP00000014914,Q8NFJ5,RAI3_HUMAN,GPRC5A GPCR5A RAI3 RAIG1
9606.ENSP00000014930,Q9NRV9,HEBP1_HUMAN,HEBP1 HBP
9606.ENSP00000016171,Q7KZN9,COX15_HUMAN,COX15
9606.ENSP00000016913,Q9NXJ0,M4A12_HUMAN,MS4A12
9606.ENSP00000016946,Q99666,RGPD5_HUMAN,RGPD5 RANBP2L1 RGP5 RGP7 RGPD7; RGPD6 RANBP2L2 RGP6
9606.ENSP00000017003,Q9H1B5,XYLT2_HUMAN,XYLT2 XT2 UNQ3058/PRO9878
9606.ENSP00000019103,P47872,SCTR_HUMAN,SCTR
9606.ENSP00000020926,Q7L8C5,SYT13_HUMAN,SYT13 KIAA1427
9606.ENSP00000023064,P82251,BAT1_HUMAN,SLC7A9 BAT1
9606.ENSP00000023939,Q9BY42,RTF2_HUMAN,RTF2 C20orf43 RTFDC1 AD-007 CDA05 HSPC164 HSPC169
9606.ENSP00000025008,Q8TDY2,RBCC1_HUMAN,RB1CC1 KIAA0203 RBICC
9606.ENSP00000025301,Q9UKA4,AKA11_HUMAN,AKAP11 AKAP220 KIAA0629
