Protein, P-value, TAU_Tissue
P08581,1.21e-7,0.46
Q96EZ4,1.54e-7,0.81
Q12929,3.33e-7,0.24
Q96MN9,4.02e-7,0.88
O00629,1.03e-6,0.47
O60353,1.20e-6,0.28
Q14210,1.94e-6,0.79
Q9NQW6,2.00e-6,0.76
Q9Y5U4,2.19e-6,0.32
Q8N2F6,2.49e-6,0.15
O00755,3.03e-6,0.83
O14757,3.10e-6,0.62
P09001,3.51e-6,0.11
Q16787,3.58e-6,0.40
Q86X83,3.69e-6,0.17
Q96JP5,3.74e-6,0.27
O43570,3.80e-6,0.58
Q00534,3.86e-6,0.56
Q8IVF2,4.05e-6,0.57
P78504,4.10e-6,0.27
Q9H0H5,4.12e-6,0.48
P06493,4.15e-6,0.58
P20248,4.43e-6,0.65
Q9BY21,4.62e-6,0.76
Q8NFJ5,4.63e-6,0.59
Q86UY5,4.99e-6,0.84
O43353,5.00e-6,0.34
P18564,5.03e-6,0.63
Q8WYA1,5.29e-6,0.64
P53816,5.58e-6,0.38
Q9BQE3,5.64e-6,0.31
P36952,5.71e-6,0.76
Q8IXU6,5.92e-6,0.46
Q9UL19,6.26e-6,0.32
Q9H239,6.28e-6,0.50
Q9BY44,6.57e-6,0.12
Q96AT9,7.00e-6,0.10
Q96RQ1,7.02e-6,0.12
Q9BYG0,7.23e-6,0.51
P00338,8.09e-6,0.23
O95373,8.38e-6,0.25
P07355,8.47e-6,0.23
Q96FF9,8.72e-6,0.73
O75436,9.18e-6,0.11
P68431,9.25e-6,0.59
O95239,9.44e-6,0.77
Q15398,9.94e-6,0.79
P17301,1.02e-5,0.45
Q9Y6X1,1.03e-5,0.24
Q96FX8,1.05e-5,0.49
P08779,1.09e-5,0.79
Q92572,1.13e-5,0.21
Q06190,1.14e-5,0.63
Q8IWR1,1.15e-5,0.61
Q6SJ93,1.17e-5,0.75
Q96EA4,1.19e-5,0.51
P01135,1.20e-5,0.51
P63104,1.20e-5,0.18
Q9UGI8,1.20e-5,0.37
Q96B01,1.22e-5,0.68
Q13535,1.23e-5,0.38
P35367,1.27e-5,0.52
P21589,1.32e-5,0.43
P32926,1.43e-5,0.86
Q96H22,1.46e-5,0.54
Q96GX8,1.54e-5,0.53
P82650,1.55e-5,0.24
,1.58e-5,0.24
O95067,1.74e-5,0.70
P00367,1.76e-5,0.38
Q969T4,1.78e-5,0.22
O43286,1.87e-5,0.33
P49406,1.97e-5,0.22
P53794,1.98e-5,0.49
Q96D46,2.03e-5,0.25
Q96PC3,2.08e-5,0.69
Q9UQN3,2.11e-5,0.18
Q9NXK6,2.15e-5,0.70
P41231,2.19e-5,0.64
Q9H8V3,2.24e-5,0.45
Q9ULV0,2.26e-5,0.45
P53582,2.28e-5,0.21
P62256,2.33e-5,0.17
Q86YC2,2.35e-5,0.22
O43683,2.37e-5,0.76
Q13443,2.52e-5,0.19
Q53EZ4,2.66e-5,0.74
Q9ULW0,2.68e-5,0.70
O43663,2.76e-5,0.52
Q9H2G2,2.77e-5,0.25
Q86SQ4,2.78e-5,0.63
Q9H900,2.90e-5,0.56
Q6P4F7,2.92e-5,0.68
P13987,2.92e-5,0.19
O75635,3.03e-5,0.90
Q08050,3.03e-5,0.68
Q5H9U9,3.04e-5,0.56
P62330,3.10e-5,0.27
O14867,3.11e-5,0.38
O15020,3.14e-5,0.61
O60678,3.17e-5,0.32
Q9NTQ9,3.24e-5,0.89
O15231,3.30e-5,0.55
Q9NYL9,3.38e-5,0.38
Q9Y448,3.43e-5,0.46
Q02241,3.69e-5,0.69
O75330,3.71e-5,0.72
P11388,3.83e-5,0.69
P42338,3.99e-5,0.31
Q99985,4.08e-5,0.36
Q9NTJ3,4.20e-5,0.49
P27144,4.34e-5,0.52
P11166,4.39e-5,0.52
Q8NEM2,4.47e-5,0.75
Q96T88,4.52e-5,0.79
P63000,4.57e-5,0.14
Q6ZV73,4.62e-5,0.43
Q9H4H8,4.73e-5,0.65
Q9NZS9,4.74e-5,0.18
Q96GX5,4.81e-5,0.46
Q14126,4.94e-5,0.49
P50616,5.04e-5,0.23
P14618,5.17e-5,0.31
Q9BUL8,5.22e-5,0.15
Q9NWW9,5.27e-5,0.85
,5.27e-5,0.26
O00401,5.30e-5,0.17
Q9HAU0,5.41e-5,0.33
Q8TCS8,5.44e-5,0.27
O96019,5.44e-5,0.25
Q9Y5K6,5.53e-5,0.33
O43653,5.60e-5,0.79
P46940,5.67e-5,0.17
Q8IZ96,5.68e-5,0.80
P32456,5.73e-5,0.27
Q9NQS7,5.76e-5,0.48
Q96SL1,5.81e-5,0.41
P26006,5.95e-5,0.35
Q9P0J7,6.10e-5,0.26
O14936,6.11e-5,0.30
Q9UBC9,6.27e-5,0.78
O43240,6.46e-5,0.75
Q96SB4,6.53e-5,0.28
O14944,6.57e-5,0.85
P01130,6.60e-5,0.38
Q9Y4A8,6.62e-5,0.66
Q9Y221,6.69e-5,0.24
Q9H706,6.73e-5,0.53
Q9C0B5,6.74e-5,0.18
P08727,6.82e-5,0.41
Q13253,6.86e-5,0.79
A6NJI1,6.97e-5,0.95
Q96CF2,6.99e-5,0.49
Q9BZF9,7.01e-5,0.38
Q6P9B6,7.05e-5,0.37
Q13753,7.11e-5,0.51
O43283,7.27e-5,0.26
Q9Y6M1,7.37e-5,0.42
P61026,7.37e-5,0.28
Q3MHD2,7.49e-5,0.16
O75712,7.56e-5,0.79
P22528,7.64e-5,0.81
Q9BPX3,7.65e-5,0.77
Q8NCD3,7.72e-5,0.80
P08729,7.78e-5,0.60
P68402,7.79e-5,0.21
