Reaction,Entry
R13199,M00001
R00756,M00001
R05805,M00001
R01070,M00001
R01015,M00001
R01061,M00001
R01063,M00001
R01512,M00001
R07159,M00001
R01518,M00001
R00658,M00001
R00200,M00001
R01061,M00002
R01063,M00002
R01512,M00002
R07159,M00002
R01518,M00002
R00658,M00002
R00200,M00002
R00658,M00003
R01518,M00003
R01512,M00003
R01061,M00003
R01063,M00003
R01015,M00003
R01070,M00003
R00762,M00003
R00014,M00307
R03270,M00307
R02569,M00307
R07618,M00307
R01325,M00009
R01900,M00009
R01324,M00009
R01899,M00009
R00268,M00009
R00267,M00009
R00709,M00009
R00621,M00009
R03316,M00009
R01700,M00009
R02570,M00009
R07618,M00009
R01197,M00009
R00405,M00009
R00432,M00009
R00727,M00009
R10343,M00009
R02164,M00009
R01082,M00009
R00342,M00009
R00361,M00009
R01325,M00010
R01900,M00010
R01324,M00010
R01899,M00010
R00268,M00010
R00267,M00010
R00709,M00010
R02570,M00011
R07618,M00011
R01197,M00011
R00405,M00011
R00432,M00011
R00727,M00011
R10343,M00011
R02164,M00011
R01082,M00011
R00342,M00011
R00361,M00011
R02035,M00004
R01528,M00004
R10221,M00004
R01529,M00004
R01056,M00004
R01641,M00004
R08575,M00004
R01067,M00004
R13199,M00004
R02739,M00004
R02035,M00006
R01528,M00006
R10221,M00006
R08575,M00007
R01641,M00007
R01529,M00007
R01056,M00007
R01381,M00014
R01476,M00014
R01383,M00014
R01478,M00014
R01481,M00014
R02640,M00014
R01905,M00014
R01904,M00014
R01896,M00014
R01639,M00014
R01092,M00632
R00955,M00632
R00291,M00632
R00292,M00854
R00948,M00854
R02421,M00854
R02110,M00854
R08639,M00855
R00959,M00549
R00289,M00549
R00955,M00554
R13199,M00892
R00768,M00892
R02058,M00892
R08193,M00892
R00416,M00892
R02765,M00741
R00833,M00741
R03469,M00130
R03435,M00130
R03433,M00130
R03427,M00131
R04372,M00131
R01187,M00131
R03478,M00132
R05202,M00132
R01626,M00082
R01624,M00082
R04355,M00082
R10707,M00082
R04533,M00083
R04428,M00083
R04429,M00083
R04430,M00083
R04952,M00083
R04953,M00083
R04954,M00083
R04955,M00083
R04956,M00083
R04957,M00083
R04536,M00083
R04537,M00083
R04958,M00083
R04959,M00083
R04960,M00083
R04534,M00083
R04535,M00083
R04961,M00083
R04962,M00083
R04963,M00083
R04964,M00083
R04965,M00083
R04724,M00083
R04725,M00083
R04726,M00083
R04566,M00083
R04568,M00083
R04966,M00083
R04967,M00083
R04968,M00083
R04543,M00083
R04544,M00083
R04969,M00083
R04970,M00083
R01778,M00085
R02685,M00085
R07162,M00085
R01177,M00085
R04748,M00085
R04749,M00085
R06985,M00085
R04747,M00085
R04745,M00085
R04746,M00085
R03776,M00085
R03778,M00085
R04743,M00085
R04744,M00085
R04753,M00085
R04742,M00085
R04741,M00085
R04170,M00085
R03856,M00085
R03858,M00085
R04739,M00085
R04740,M00085
R03989,M00085
R03991,M00085
R04737,M00085
R04738,M00085
R01278,M00085
R04738,M00087
R04737,M00087
R03991,M00087
R03990,M00087
R04740,M00087
R04739,M00087
R03858,M00087
R03857,M00087
R04170,M00087
R04741,M00087
R04742,M00087
R04754,M00087
R04744,M00087
R04743,M00087
R03778,M00087
R03777,M00087
R04746,M00087
R04745,M00087
R04747,M00087
R04751,M00087
R04749,M00087
R04748,M00087
R01177,M00087
R01175,M00087
R03026,M00087
R01975,M00087
R00238,M00087
R07935,M00861
R07936,M00861
R07937,M00861
R07950,M00861
R07951,M00861
R07952,M00861
R07953,M00861
R05640,M00101
R05639,M00101
R07509,M00101
R07494,M00101
R07495,M00101
R12403,M00101
R12404,M00101
R12405,M00101
R07498,M00101
R03353,M00101
R07215,M00101
R01451,M00101
R01456,M00101
R03611,M00103
R03610,M00103
R04263,M00104
R04826,M00104
R04823,M00104
R04824,M00104
R04825,M00104
R04807,M00104
R08759,M00104
R08761,M00104
R08733,M00104
R08734,M00104
R08735,M00104
R04813,M00104
R04812,M00104
R03719,M00104
R07296,M00104
R04817,M00104
R04818,M00104
R04819,M00104
R04806,M00104
R08758,M00104
R08760,M00104
R08738,M00104
R08739,M00104
R08740,M00104
R04809,M00104
R04810,M00104
R04811,M00104
R03974,M00104
R03720,M00106
R03718,M00106
R04813,M00862
R04812,M00862
R03719,M00862
R08740,M00862
R04809,M00862
R04810,M00862
R04811,M00862
R04854,M00107
R02723,M00107
R04855,M00107
R03933,M00107
R02216,M00107
R03851,M00108
R03262,M00108
R03263,M00108
R03326,M00109
R02843,M00109
R02834,M00109
R02836,M00109
R08517,M00110
R01837,M00110
R01840,M00110
R04759,M00110
R02351,M00110
R02241,M00089
R02239,M00089
R02251,M00089
R02687,M00098
R01351,M00098
R01890,M00090
R01321,M00090
R03424,M00091
R01320,M00091
R02038,M00092
R02057,M00092
R02978,M00094
R06517,M00094
R06519,M00094
R03354,M00066
R04017,M00067
R10804,M00067
R10805,M00067
R02978,M00099
R06517,M00099
R06519,M00099
R01494,M00099
R06516,M00100
R04144,M00048
R04325,M00048
R04463,M00048
R04208,M00048
R04209,M00048
R07404,M00048
R07405,M00048
R04591,M00048
R04559,M00048
R04560,M00048
R06975,M00048
R01127,M00048
R01083,M00049
R00127,M00049
R00333,M00049
R00331,M00049
R01230,M00050
R01231,M00050
R00332,M00050
R00330,M00050
R01137,M00053
R02019,M00053
R01857,M00053
R02024,M00053
R02326,M00053
R02018,M00053
R02331,M00053
R01126,M00958
R00183,M00958
R01560,M00958
R01863,M00958
R01768,M00958
R01769,M00958
R02103,M00958
R02107,M00958
R02147,M00959
R01676,M00959
R02103,M00959
R02107,M00959
R01397,M00051
R01993,M00051
R01867,M00051
R01868,M00051
R01869,M00051
R01870,M00051
R00965,M00051
R00156,M00052
R00571,M00052
R00573,M00052
R00570,M00052
R02331,M00938
R02100,M00938
R02101,M00938
R06613,M00938
R02094,M00938
R02093,M00938
R02269,M00046
R00905,M00046
R01415,M00046
R11026,M00046
R03055,M00046
R04666,M00046
R04173,M00020
R00582,M00020
R04125,M00621
R03815,M00621
R01221,M00621
R02565,M00555
R02566,M00555
R08211,M00555
R01001,M00338
R00178,M00034
R01920,M00034
R01401,M00034
R04143,M00034
R01402,M00034
R04420,M00034
R07392,M00034
R07393,M00034
R07394,M00034
R07395,M00034
R07364,M00034
R07396,M00034
R12507,M00034
R00367,M00035
R04858,M00035
R00192,M00035
R01290,M00035
R07601,M00036
R07602,M00036
R04097,M00036
R07618,M00036
R04095,M00036
R04138,M00036
R02085,M00036
R01360,M00036
R02313,M00032
R03102,M00032
