protein1,protein2,combined_score
P20645,Q9NZ52,0.97
Q02790,P06401,0.926
Q02790,P03372,0.836
Q02790,P08238,0.995
Q02790,P07900,0.995
Q02790,P42345,0.934
Q02790,O60346,0.983
Q02790,Q15185,0.951
Q02790,P34932,0.986
Q02790,P04150,0.975
Q02790,P08235,0.891
Q13275,O60462,0.986
P13569,P07900,0.932
P13569,P21333,0.944
P13569,P08238,0.889
P13569,Q15599,0.84
P13569,O14745,0.999
P13569,Q99942,0.879
P13569,Q9HD26,0.962
Q96RU2,Q12888,0.986
E9PNW1,Q8N8V4,0.979
E9PNW1,Q6PIF6,0.958
E9PNW1,Q495M9,0.999
E9PNW1,Q13402,0.998
P11233,P21333,0.881
P11233,Q96KP1,0.999
P11233,Q8IYI6,0.999
O14641,Q9ULK5,0.957
O14641,O15169,0.999
O14641,P49674,0.912
O14641,P53350,0.872
O14641,Q9NYF0,0.96
O14641,P49407,0.867
O14641,Q92997,0.982
O14641,Q8TAA9,0.973
Q9H6T3,P08238,0.976
Q9H6T3,O15212,0.908
Q9H6T3,Q9Y230,0.999
Q9H6T3,Q9NWS0,0.999
Q9H6T3,Q9UHV9,0.905
Q9H6T3,P19388,0.925
Q9H6T3,Q96MX6,0.964
Q9H6T3,P07900,0.957
Q9H6T3,Q9UBK9,0.939
Q9H6T3,Q9Y265,0.999
Q9H6T3,Q9NUG6,0.926
P78423,P49238,0.999
O75865,P48553,0.911
O75865,P0DI81,0.999
O75865,Q8IUR0,0.999
O75865,Q9Y296,0.999
O75865,Q9Y5R8,0.999
O75865,O43617,0.999
Q16526,P49674,0.956
Q16526,Q49AN0,0.983
Q16526,O00327,0.975
Q16526,Q9UKT7,0.996
Q16526,O15055,0.999
O95772,J3QKM9,0.83
P04233,P16070,0.997
P04233,P01920,0.935
P04233,P25025,0.986
P04233,P14174,0.996
P04233,P61073,0.987
P04233,P01911,0.971
Q96S59,Q9NWU2,0.927
Q96S59,P30530,0.845
Q96S59,Q9UL63,0.959
P01730,P27701,0.946
P01730,P06127,0.958
P01730,P51681,0.999
P01730,P01911,0.96
P01730,P60033,0.955
P01730,P12273,0.853
P01730,P43403,0.961
P01730,P61073,0.989
P53041,Q16543,0.981
P53041,P07900,0.984
P53041,P08238,0.987
P07992,Q92889,0.999
P07992,Q96NY9,0.978
P07992,Q9BQ83,0.961
P07992,Q8IY92,0.997
P07992,P23025,0.998
P47872,P09683,0.999
P82251,Q07837,0.999
Q8TDY2,O75143,0.998
Q8TDY2,O94817,0.93
Q8TDY2,Q14289,0.971
Q8TDY2,Q9ULG6,0.997
Q8TDY2,O95166,0.831
Q8TDY2,Q99683,0.893
Q8TDY2,Q13137,0.995
Q8TDY2,O75385,0.999
Q8TDY2,Q05397,0.99
Q8TDY2,Q9BSB4,0.998
Q8TDY2,Q8IYT8,0.997
Q8TDY2,P04637,0.969
Q8TDY2,Q96LT7,0.964
Q9BRB3,Q14442,0.998
Q9BRB3,P37287,0.995
Q9BRB3,P57054,0.998
Q9BRB3,Q92535,0.998
Q9BRB3,O94777,0.996
P60520,Q3MII6,0.95
P60520,Q92609,0.875
P60520,O75385,0.864
P60520,Q86VP1,0.96
P60520,O95166,0.936
P60520,Q96CV9,0.995
P60520,O95352,0.995
P60520,Q13501,0.999
P60520,Q9H6L5,0.843
P60520,Q13137,0.981
P60520,Q8IVP5,0.967
P60520,O75143,0.906
P60520,Q9NT62,0.995
P60520,Q9Y4P1,0.899
P60520,O60238,0.997
P60520,Q9H1Y0,0.969
Q99972,P35555,0.865
Q99972,Q96PB7,0.952
Q8NFC6,O15047,0.864
Q9BZR6,P23515,0.986
Q9BZR6,P08138,0.989
Q9BZR6,Q96FE5,0.989
P25789,P49720,0.999
P25789,P60900,0.998
P25789,Q06323,0.978
P25789,P28070,0.998
P25789,P25788,0.999
P25789,P43686,0.964
P25789,Q99436,0.997
P25789,P25787,0.999
P25789,P25786,0.998
P25789,P17980,0.983
