protein1,protein2,homology,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
9606.ENSP00000000412,9606.ENSP00000438085,0,960,0,0,0,291,0,970
9606.ENSP00000001008,9606.ENSP00000325120,0,89,0,800,0,627,0,926
9606.ENSP00000001008,9606.ENSP00000405330,0,329,0,500,0,551,0,836
9606.ENSP00000001008,9606.ENSP00000360609,0,509,0,500,0,982,139,995
9606.ENSP00000001008,9606.ENSP00000335153,0,528,0,500,0,982,139,995
9606.ENSP00000001008,9606.ENSP00000354558,0,900,0,0,0,320,116,934
9606.ENSP00000001008,9606.ENSP00000262719,0,183,0,0,0,981,0,983
9606.ENSP00000001008,9606.ENSP00000482075,0,457,0,800,0,586,0,951
9606.ENSP00000001008,9606.ENSP00000302961,0,292,0,0,0,982,0,986
9606.ENSP00000001008,9606.ENSP00000231509,0,457,0,800,0,791,0,975
9606.ENSP00000001008,9606.ENSP00000350815,0,89,0,800,0,452,0,891
9606.ENSP00000002829,9606.ENSP00000353582,0,292,0,0,0,982,0,986
9606.ENSP00000003084,9606.ENSP00000342143,0,457,0,0,0,759,0,863
9606.ENSP00000003084,9606.ENSP00000335153,0,457,0,500,0,773,0,932
9606.ENSP00000003084,9606.ENSP00000358866,0,900,0,0,0,461,0,944
9606.ENSP00000003084,9606.ENSP00000360609,0,100,0,500,0,774,0,889
9606.ENSP00000003084,9606.ENSP00000408005,0,483,0,0,0,705,0,840
9606.ENSP00000003084,9606.ENSP00000262613,0,549,0,900,0,981,0,999
9606.ENSP00000003084,9606.ENSP00000364235,0,457,0,500,0,592,0,879
9606.ENSP00000003084,9606.ENSP00000357484,0,457,0,700,0,791,0,962
9606.ENSP00000003302,9606.ENSP00000371475,0,587,0,0,0,969,0,986
9606.ENSP00000003302,9606.ENSP00000474725,0,292,0,0,0,865,0,900
9606.ENSP00000004982,9606.ENSP00000248553,0,390,0,0,0,736,0,832
9606.ENSP00000005226,9606.ENSP00000308772,0,945,0,0,0,642,0,979
9606.ENSP00000005226,9606.ENSP00000224721,0,943,0,0,0,977,183,998
9606.ENSP00000005226,9606.ENSP00000415090,0,926,0,0,0,356,190,958
9606.ENSP00000005226,9606.ENSP00000480279,0,963,0,800,0,911,0,999
9606.ENSP00000005226,9606.ENSP00000386331,0,926,0,800,0,869,190,998
9606.ENSP00000005257,9606.ENSP00000372924,0,545,0,0,0,981,0,990
9606.ENSP00000005257,9606.ENSP00000358866,0,292,0,0,0,837,56,881
9606.ENSP00000005257,9606.ENSP00000230449,0,960,0,500,0,965,134,999
9606.ENSP00000005257,9606.ENSP00000355605,0,919,0,500,0,977,157,999
9606.ENSP00000005340,9606.ENSP00000357040,0,143,72,900,0,403,239,957
9606.ENSP00000005340,9606.ENSP00000262320,0,950,0,900,0,887,232,999
9606.ENSP00000005340,9606.ENSP00000380044,0,377,0,800,0,354,0,912
9606.ENSP00000005340,9606.ENSP00000300093,0,457,0,0,0,774,0,872
9606.ENSP00000005340,9606.ENSP00000337439,0,457,0,900,0,328,0,960
9606.ENSP00000005340,9606.ENSP00000409581,0,292,0,500,0,647,64,867
9606.ENSP00000005340,9606.ENSP00000368166,0,583,0,900,0,556,0,979
9606.ENSP00000005340,9606.ENSP00000316054,0,611,0,900,0,580,0,982
9606.ENSP00000005340,9606.ENSP00000347672,0,225,72,900,0,598,239,973
9606.ENSP00000005386,9606.ENSP00000360609,0,556,79,540,0,883,90,976
9606.ENSP00000005386,9606.ENSP00000378563,0,555,0,540,0,589,0,908
9606.ENSP00000005386,9606.ENSP00000473172,0,960,0,900,0,982,108,999
9606.ENSP00000005386,9606.ENSP00000262265,0,965,54,900,0,982,155,999
9606.ENSP00000005386,9606.ENSP00000356989,0,583,0,540,0,548,0,905
9606.ENSP00000005386,9606.ENSP00000478303,0,653,70,540,0,558,0,925
9606.ENSP00000005386,9606.ENSP00000295121,0,671,0,540,0,738,216,964
9606.ENSP00000005386,9606.ENSP00000335153,0,618,79,0,0,883,90,957
9606.ENSP00000005386,9606.ENSP00000337393,0,669,0,540,0,635,0,939
9606.ENSP00000005386,9606.ENSP00000318297,0,960,0,900,0,982,93,999
9606.ENSP00000005386,9606.ENSP00000202017,0,608,0,540,0,624,0,926
9606.ENSP00000005587,9606.ENSP00000493623,0,421,0,500,0,513,0,846
9606.ENSP00000006053,9606.ENSP00000351059,0,618,0,900,0,982,115,999
9606.ENSP00000006275,9606.ENSP00000291574,0,230,355,800,0,214,0,911
9606.ENSP00000006275,9606.ENSP00000392495,0,628,373,800,0,982,348,999
9606.ENSP00000006275,9606.ENSP00000470262,0,670,484,800,0,981,349,999
9606.ENSP00000006275,9606.ENSP00000436005,0,893,479,800,0,982,349,999
9606.ENSP00000006275,9606.ENSP00000302783,0,965,490,800,0,982,349,999
9606.ENSP00000006275,9606.ENSP00000480332,0,956,377,800,0,927,280,999
9606.ENSP00000008527,9606.ENSP00000380044,0,543,72,800,0,499,141,956
9606.ENSP00000008527,9606.ENSP00000478187,0,671,0,900,0,542,0,983
9606.ENSP00000008527,9606.ENSP00000384517,0,621,45,500,0,883,0,975
9606.ENSP00000008527,9606.ENSP00000381531,0,578,0,800,0,531,52,957
9606.ENSP00000008527,9606.ENSP00000347834,0,629,248,700,0,959,52,996
9606.ENSP00000008527,9606.ENSP00000426983,0,559,0,500,0,856,0,965
9606.ENSP00000008527,9606.ENSP00000254657,0,570,532,800,0,981,0,999
9606.ENSP00000009041,9606.ENSP00000345656,0,363,156,0,0,710,0,830
9606.ENSP00000009530,9606.ENSP00000398632,0,483,0,720,0,982,102,997
9606.ENSP00000009530,9606.ENSP00000364080,0,236,749,540,0,356,0,935
9606.ENSP00000009530,9606.ENSP00000319635,0,292,0,0,0,982,53,986
9606.ENSP00000009530,9606.ENSP00000215754,0,292,0,700,0,982,116,996
9606.ENSP00000009530,9606.ENSP00000386884,0,292,0,0,0,982,74,987
9606.ENSP00000009530,9606.ENSP00000353099,0,912,117,540,0,291,0,971
9606.ENSP00000011619,9606.ENSP00000266069,0,657,500,0,0,431,349,927
9606.ENSP00000011619,9606.ENSP00000301178,0,292,0,0,0,791,0,845
9606.ENSP00000011619,9606.ENSP00000323527,0,619,0,0,0,885,160,959
9606.ENSP00000011653,9606.ENSP00000227155,0,292,0,0,0,927,0,946
9606.ENSP00000011653,9606.ENSP00000477713,0,943,0,900,0,982,52,999
9606.ENSP00000011653,9606.ENSP00000342681,0,900,130,0,0,561,0,958
9606.ENSP00000011653,9606.ENSP00000292303,0,935,0,0,0,982,347,999
9606.ENSP00000011653,9606.ENSP00000353099,0,900,0,500,0,282,0,960
9606.ENSP00000011653,9606.ENSP00000263645,0,292,0,0,0,940,0,955
9606.ENSP00000011653,9606.ENSP00000291009,0,292,0,0,0,802,0,853
9606.ENSP00000011653,9606.ENSP00000264972,0,292,0,900,0,501,47,961
9606.ENSP00000011653,9606.ENSP00000386884,0,457,0,0,0,982,0,989
9606.ENSP00000012443,9606.ENSP00000222005,0,457,368,900,0,388,258,981
9606.ENSP00000012443,9606.ENSP00000335153,0,596,342,500,0,874,200,984
9606.ENSP00000012443,9606.ENSP00000360609,0,592,499,720,0,768,200,987
9606.ENSP00000013807,9606.ENSP00000310520,0,964,533,900,0,982,239,999
9606.ENSP00000013807,9606.ENSP00000307853,0,661,350,500,0,751,352,978
9606.ENSP00000013807,9606.ENSP00000251303,0,457,0,500,0,809,349,961
9606.ENSP00000013807,9606.ENSP00000294008,0,658,0,500,0,979,301,997
9606.ENSP00000013807,9606.ENSP00000364270,0,674,41,540,0,982,349,998
9606.ENSP00000019103,9606.ENSP00000176195,0,926,0,900,0,952,0,999
9606.ENSP00000020945,9606.ENSP00000378402,0,292,0,0,0,767,115,841
9606.ENSP00000020945,9606.ENSP00000383042,0,292,0,0,0,884,63,916
9606.ENSP00000023064,9606.ENSP00000260649,0,900,255,900,0,884,172,999
9606.ENSP00000025008,9606.ENSP00000432412,0,526,46,800,0,982,155,998
9606.ENSP00000025008,9606.ENSP00000425107,0,454,0,0,0,837,283,930
9606.ENSP00000025008,9606.ENSP00000380638,0,292,0,0,0,949,283,971
9606.ENSP00000025008,9606.ENSP00000403400,0,910,0,0,0,974,0,997
9606.ENSP00000025008,9606.ENSP00000306866,0,457,46,0,0,700,0,831
9606.ENSP00000025008,9606.ENSP00000351908,0,292,0,0,0,848,89,893
9606.ENSP00000025008,9606.ENSP00000398523,0,457,749,0,0,969,0,995
9606.ENSP00000025008,9606.ENSP00000324560,0,734,104,800,0,982,349,999
9606.ENSP00000025008,9606.ENSP00000341189,0,292,0,0,0,982,283,990
9606.ENSP00000025008,9606.ENSP00000338990,0,670,0,800,0,982,155,998
9606.ENSP00000025008,9606.ENSP00000375873,0,526,0,0,0,924,0,962
9606.ENSP00000025008,9606.ENSP00000378914,0,166,104,800,0,982,349,997
9606.ENSP00000025008,9606.ENSP00000269305,0,457,0,0,0,946,0,969
9606.ENSP00000025008,9606.ENSP00000482753,0,457,0,900,0,407,0,964
9606.ENSP00000026218,9606.ENSP00000216452,0,329,0,900,0,981,0,998
9606.ENSP00000026218,9606.ENSP00000369820,0,457,0,900,0,914,220,995
9606.ENSP00000026218,9606.ENSP00000420037,0,292,0,900,0,975,155,998
9606.ENSP00000026218,9606.ENSP00000356702,0,292,0,900,0,975,0,998
9606.ENSP00000026218,9606.ENSP00000322181,0,292,0,900,0,951,44,996
9606.ENSP00000037243,9606.ENSP00000343479,0,421,462,900,0,982,297,999
9606.ENSP00000037243,9606.ENSP00000365962,0,457,0,500,0,831,0,950
9606.ENSP00000037243,9606.ENSP00000402935,0,379,0,0,0,799,84,875
9606.ENSP00000037243,9606.ENSP00000324560,0,457,254,0,0,675,93,864
9606.ENSP00000037243,9606.ENSP00000379612,0,330,46,900,0,453,0,960
9606.ENSP00000037243,9606.ENSP00000306866,0,166,0,900,0,304,0,936
9606.ENSP00000037243,9606.ENSP00000368022,0,425,0,900,0,929,0,995
9606.ENSP00000037243,9606.ENSP00000346437,0,570,395,0,0,976,310,995
9606.ENSP00000037243,9606.ENSP00000374455,0,600,135,900,0,982,170,999
9606.ENSP00000037243,9606.ENSP00000304642,0,432,0,0,0,736,0,843
9606.ENSP00000037243,9606.ENSP00000411256,0,166,0,900,0,260,0,932
9606.ENSP00000037243,9606.ENSP00000398523,0,457,46,0,0,968,0,981
9606.ENSP00000037243,9606.ENSP00000367284,0,238,0,900,0,580,115,967
9606.ENSP00000037243,9606.ENSP00000432412,0,457,0,0,0,800,209,906
9606.ENSP00000037243,9606.ENSP00000283290,0,578,320,0,0,980,310,995
9606.ENSP00000037243,9606.ENSP00000384259,0,457,289,0,0,725,162,899
