protein1,protein2,homology,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
P20645,Q9UJY4,0,230,0,0,0,291,0,430
P20645,Q9NZ52,0,960,0,0,0,291,0,970
Q02790,P06401,0,89,0,800,0,627,0,926
Q02790,P48995,0,292,0,0,0,154,0,375
Q02790,P10636,0,236,0,0,0,306,0,447
Q02790,P03372,0,329,0,500,0,551,0,836
Q02790,P08238,0,509,0,500,0,982,139,995
Q02790,P07900,0,528,0,500,0,982,139,995
Q02790,P42345,0,900,0,0,0,320,116,934
Q02790,O60346,0,183,0,0,0,981,0,983
Q02790,Q15185,0,457,0,800,0,586,0,951
Q02790,O95433,0,566,0,0,0,426,0,740
Q02790,Q9UL62,0,292,0,0,0,188,0,400
Q02790,P34932,0,292,0,0,0,982,0,986
Q02790,O43318,0,128,0,0,0,414,0,467
Q02790,P04637,0,292,0,0,0,101,0,336
Q02790,P04150,0,457,0,800,0,791,0,975
Q02790,P31948,0,345,0,500,0,219,0,721
Q02790,Q92990,0,483,0,0,0,605,0,787
Q02790,Q15306,0,292,0,0,0,448,0,592
Q02790,Q00535,0,292,0,0,0,75,0,317
Q02790,P08235,0,89,0,800,0,452,0,891
Q13275,O60462,0,292,0,0,0,982,0,986
P13569,Q92747,0,54,0,0,0,274,0,283
P13569,Q04637,0,54,0,0,0,233,0,243
P13569,P51572,0,292,0,0,0,392,0,551
P13569,O00161,0,307,0,0,0,75,0,331
P13569,P04792,0,457,0,0,0,141,0,513
P13569,P27824,0,457,0,0,0,649,0,801
P13569,P07900,0,457,0,500,0,773,0,932
P13569,P17612,0,292,0,0,0,388,0,548
P13569,P12830,0,114,0,0,0,281,0,335
P13569,P31946,0,901,0,0,0,93,0,907
P13569,P21333,0,900,0,0,0,461,0,944
P13569,Q9H8Y8,0,292,0,0,0,281,0,469
P13569,P30153,0,359,0,0,0,44,52,368
P13569,P34932,0,457,0,0,0,406,0,663
P13569,O95433,0,335,0,0,0,204,0,448
P13569,P08238,0,100,0,500,0,774,0,889
P13569,P07384,0,292,0,0,0,229,0,430
P13569,Q14315,0,48,0,0,0,401,0,405
P13569,O15145,0,48,0,0,0,152,0,158
P13569,Q9ULV0,0,48,0,0,0,383,0,387
P13569,Q8N668,0,292,0,0,0,262,0,455
P13569,Q16082,0,292,0,0,0,142,0,366
P13569,Q15599,0,483,0,0,0,705,0,840
P13569,Q9BPX5,0,57,0,0,0,256,0,268
P13569,Q9UNE7,0,457,0,0,0,243,0,571
P13569,Q96PU5,0,48,0,0,0,287,0,292
P13569,O00303,0,57,0,0,0,289,0,300
P13569,O14745,0,549,0,900,0,981,0,999
P13569,Q99942,0,457,0,500,0,592,0,879
P13569,O75369,0,57,0,0,0,332,0,343
P13569,P25685,0,330,0,0,0,101,0,371
P13569,P05787,0,405,0,0,0,432,0,647
P13569,Q13509,0,57,0,0,0,278,0,290
P13569,Q9HD26,0,457,0,700,0,791,0,962
P13569,O15144,0,57,0,0,0,235,0,247
P13569,O15143,0,57,0,0,0,277,0,289
Q96RU2,Q12888,0,587,0,0,0,969,0,986
Q96RU2,P04637,0,465,0,0,0,59,0,475
Q96RU2,Q14980,0,292,0,0,0,310,0,490
Q96RU2,O14965,0,292,0,0,0,248,0,444
Q96RU2,P40818,0,292,0,0,0,263,0,455
E9PNW1,Q8WXG9,0,292,0,540,0,383,0,781
E9PNW1,Q9BYE9,0,292,0,0,0,549,183,716
E9PNW1,Q15599,0,184,0,0,0,100,0,234
E9PNW1,Q8N8V4,0,945,0,0,0,642,0,979
E9PNW1,Q6PIF6,0,926,0,0,0,356,190,958
E9PNW1,Q495M9,0,963,0,800,0,911,0,999
E9PNW1,Q13402,0,926,0,800,0,869,190,998
E9PNW1,O75445,0,292,0,540,0,234,0,728
P11233,O75369,0,166,0,0,0,666,56,714
P11233,P01112,0,446,0,0,0,317,0,605
P11233,P21333,0,292,0,0,0,837,56,881
P11233,Q96KP1,0,960,0,500,0,965,134,999
P11233,P24385,0,186,0,0,0,69,0,209
P11233,Q8IYI6,0,919,0,500,0,977,157,999
P11233,P01116,0,212,0,0,0,63,0,230
O14641,P26368,0,193,0,0,0,107,0,248
O14641,Q9ULK5,0,143,72,900,0,403,239,957
O14641,Q13467,0,292,0,0,0,664,128,774
O14641,P98082,0,292,0,0,0,261,0,454
O14641,Q6DKJ4,0,477,0,0,0,345,0,642
O14641,P60484,0,76,0,0,0,186,92,257
O14641,P56545,0,79,0,0,0,354,0,379
O14641,O15169,0,950,0,900,0,887,232,999
O14641,P49674,0,377,0,800,0,354,0,912
O14641,P53350,0,457,0,0,0,774,0,872
O14641,Q96BN8,0,360,0,0,0,264,0,508
O14641,P40337,0,457,0,0,0,408,0,664
O14641,Q96KQ4,0,76,0,0,0,140,0,171
O14641,Q9NYF0,0,457,0,900,0,328,0,960
O14641,P55265,0,76,0,0,0,262,0,288
O14641,P49407,0,292,0,500,0,647,64,867
O14641,Q9NZC7,0,457,0,0,0,501,0,717
O14641,Q92997,0,611,0,900,0,580,0,982
O14641,Q8TAA9,0,225,72,900,0,598,239,973
Q9H6T3,Q96P16,0,204,0,0,0,93,0,247
Q9H6T3,P08238,0,556,79,540,0,883,90,976
Q9H6T3,O15212,0,555,0,540,0,589,0,908
Q9H6T3,Q6P2Q9,0,188,0,0,0,380,0,475
Q9H6T3,Q9Y230,0,960,0,900,0,982,108,999
Q9H6T3,Q9NWS0,0,965,54,900,0,982,155,999
Q9H6T3,Q15029,0,212,0,0,0,375,0,486
Q9H6T3,Q9UHV9,0,583,0,540,0,548,0,905
Q9H6T3,P19388,0,653,70,540,0,558,0,925
Q9H6T3,Q96MX6,0,671,0,540,0,738,216,964
Q9H6T3,O14802,0,650,0,0,0,167,0,695
Q9H6T3,P07900,0,618,79,0,0,883,90,957
Q9H6T3,Q9UBK9,0,669,0,540,0,635,0,939
Q9H6T3,Q9Y265,0,960,0,900,0,982,93,999
Q9H6T3,P34932,0,184,41,0,0,451,55,539
Q9H6T3,Q9NUG6,0,608,0,540,0,624,0,926
O75563,O43639,0,230,0,0,0,295,0,433
P78423,P13612,0,292,0,0,0,155,0,376
P78423,P49238,0,618,0,900,0,982,115,999
O75865,P48553,0,230,355,800,0,214,0,911
O75865,P0DI81,0,628,373,800,0,982,348,999
O75865,Q8IUR0,0,670,484,800,0,981,349,999
O75865,Q9Y296,0,893,479,800,0,982,349,999
O75865,Q9Y5R8,0,965,490,800,0,982,349,999
O75865,O43617,0,956,377,800,0,927,280,999
Q16526,P49674,0,543,72,800,0,499,141,956
Q16526,Q49AN0,0,671,0,900,0,542,0,983
Q16526,Q93009,0,292,0,0,0,365,0,531
Q16526,O00327,0,621,45,500,0,883,0,975
Q16526,O14503,0,231,0,0,0,435,0,546
Q16526,Q9Y297,0,292,0,0,0,402,0,558
Q16526,Q9UKT7,0,629,248,700,0,959,52,996
Q16526,Q12778,0,457,0,0,0,368,0,642
Q16526,O15055,0,570,532,800,0,981,0,999
Q16526,Q9C0J9,0,184,198,0,0,367,0,549
O95772,O95292,0,186,156,0,0,590,0,693
O95772,J3QKM9,0,363,156,0,0,710,0,830
P04233,P16070,0,483,0,720,0,982,102,997
P04233,P01920,0,236,749,540,0,356,0,935
P04233,P25025,0,292,0,0,0,982,53,986
P04233,P14174,0,292,0,700,0,982,116,996
P04233,P61073,0,292,0,0,0,982,74,987
P04233,P01911,0,912,117,540,0,291,0,971
Q96S59,Q9NWU2,0,657,500,0,0,431,349,927
Q96S59,P30530,0,292,0,0,0,791,0,845
Q96S59,O75689,0,292,0,0,0,237,0,436
Q96S59,P04629,0,59,0,0,0,663,0,669
Q96S59,Q16620,0,292,0,0,0,397,0,554
Q96S59,P32004,0,230,0,900,0,54,0,920
Q96S59,Q9UL63,0,619,0,0,0,885,160,959
Q96S59,Q9H2X6,0,292,0,0,0,395,0,553
Q96S59,Q99549,0,230,0,0,0,348,0,476
P01730,P27701,0,292,0,0,0,927,0,946
P01730,P06127,0,900,130,0,0,561,0,958
P01730,P51681,0,935,0,0,0,982,347,999
P01730,P01911,0,900,0,500,0,282,0,960
P01730,P60033,0,292,0,0,0,940,0,955
P01730,P12273,0,292,0,0,0,802,0,853
P01730,P43403,0,292,0,900,0,501,47,961
P01730,P61073,0,457,0,0,0,982,0,989
P53041,P34932,0,292,0,0,0,583,90,707
P53041,Q16543,0,457,368,900,0,388,258,981
P53041,P07900,0,596,342,500,0,874,200,984
P53041,P08238,0,592,499,720,0,768,200,987
P53041,Q9UL18,0,292,0,0,0,413,0,566
P07992,Q92889,0,964,533,900,0,982,239,999
P07992,Q96NY9,0,661,350,500,0,751,352,978
P07992,O95863,0,143,0,0,0,251,0,330
P07992,Q9BQ83,0,457,0,500,0,809,349,961
P07992,P43351,0,292,0,0,0,623,0,721
P07992,Q8IY92,0,658,0,500,0,979,301,997
P07992,P23025,0,674,41,540,0,982,349,998
P47872,P09683,0,926,0,900,0,952,0,999
P82251,Q07837,0,900,255,900,0,884,172,999
Q8TDY2,O75143,0,526,46,800,0,982,155,998
Q8TDY2,Q8N122,0,59,0,500,0,131,0,555
Q8TDY2,O94817,0,454,0,0,0,837,283,930
Q8TDY2,A7MCY6,0,457,0,0,0,613,0,780
Q8TDY2,O95292,0,305,0,0,0,242,0,450
Q8TDY2,Q14289,0,292,0,0,0,949,283,971
Q8TDY2,Q9UHD2,0,457,0,0,0,184,0,537
Q8TDY2,J3QKM9,0,312,0,0,0,410,0,576
Q8TDY2,Q9ULG6,0,910,0,0,0,974,0,997
Q8TDY2,Q9H492,0,457,46,0,0,340,0,628
Q8TDY2,O95166,0,457,46,0,0,700,0,831
Q8TDY2,Q9H6S1,0,292,0,0,0,361,0,528
Q8TDY2,Q99683,0,292,0,0,0,848,89,893
Q8TDY2,Q9H1Y0,0,526,0,0,0,125,230,652
Q8TDY2,Q13137,0,457,749,0,0,969,0,995
Q8TDY2,Q12933,0,292,0,0,0,385,101,574
Q8TDY2,Q14457,0,734,0,0,0,324,0,812
Q8TDY2,O75385,0,734,104,800,0,982,349,999
Q8TDY2,Q05397,0,292,0,0,0,982,283,990
Q8TDY2,Q13501,0,382,0,0,0,334,241,660
Q8TDY2,Q9BSB4,0,670,0,800,0,982,155,998
Q8TDY2,P60520,0,292,46,0,0,600,0,706
Q8TDY2,Q9Y4P8,0,166,0,0,0,609,0,659
Q8TDY2,Q8IYT8,0,166,104,800,0,982,349,997
Q8TDY2,P04637,0,457,0,0,0,946,0,969
Q8TDY2,Q96LT7,0,457,0,900,0,407,0,964
Q9BRB3,Q14442,0,329,0,900,0,981,0,998
Q9BRB3,P37287,0,457,0,900,0,914,220,995
Q9BRB3,P57054,0,292,0,900,0,975,155,998
Q9BRB3,Q92535,0,292,0,900,0,975,0,998
Q9BRB3,O94777,0,292,0,900,0,951,44,996
P60520,O95210,0,183,0,0,0,506,0,579
P60520,Q3MII6,0,457,0,500,0,831,0,950
P60520,P07900,0,165,0,0,0,56,0,178
P60520,Q8TC07,0,195,0,0,0,674,0,726
P60520,Q96A56,0,399,0,0,0,622,0,763
P60520,Q92609,0,379,0,0,0,799,84,875
P60520,O75385,0,457,254,0,0,675,93,864
P60520,P05106,0,124,0,0,0,384,0,437
P60520,Q8IZQ1,0,423,0,0,0,291,0,573
P60520,Q86VP1,0,330,46,900,0,453,0,960
P60520,O95166,0,166,0,900,0,304,0,936
P60520,Q96CV9,0,425,0,900,0,929,0,995
P60520,Q9ULG6,0,69,0,0,0,313,0,333
P60520,O95352,0,570,395,0,0,976,310,995
P60520,O15553,0,292,0,0,0,117,0,348
P60520,Q8IYT8,0,183,254,0,0,331,93,580
