source_uniprotAC,source_pathways,target_uniprotAC,interaction_type
P15692,RTK,P17948,MI:0914(association)
P15692,RTK,P49765,MI:0914(association)
P49765,RTK,P17948,MI:0190(interaction type)
P06756,RTK,P05106,MI:0190(interaction type)
P29353,TCR|RTK|IIP,Q15389,MI:0190(interaction type)
P62993,RTK|IIP|TNF,Q15389,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P46108,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P29353,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P46109,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P35916,MI:0190(interaction type)
P46108,TCR|RTK|IIP,P46109,MI:0190(interaction type)
P29353,TCR|RTK|IIP,P46108,MI:0190(interaction type)
P01127,RTK,P09619,MI:0190(interaction type)
P29353,TCR|RTK|IIP,P46109,MI:0190(interaction type)
P29353,TCR|RTK|IIP,P35916,MI:0190(interaction type)
P43405,TGF|BCR,P16671,MI:0190(interaction type)
P15692,RTK,P35968,MI:0914(association)
P49765,RTK,P35968,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P35968,MI:0190(interaction type)
P46108,TCR|RTK|IIP,P35916,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P15692,MI:0190(interaction type)
P46109,TCR|RTK|IIP,P35916,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P16333,MI:0190(interaction type)
P62993,RTK|IIP|TNF,P49765,MI:0190(interaction type)
P35968,RTK,P16333,MI:0190(interaction type)
P29353,TCR|RTK|IIP,P49765,MI:0190(interaction type)
P29353,TCR|RTK|IIP,P35968,MI:0190(interaction type)
P29353,TCR|RTK|IIP,P16333,MI:0190(interaction type)
P15692,RTK,P16333,MI:0190(interaction type)
P15692,RTK,P29353,MI:0190(interaction type)
P05556,RTK,P08648,MI:0914(association)
P46109,TCR|RTK|IIP,P35968,MI:0190(interaction type)
P35968,RTK,P35916,MI:0190(interaction type)
P46108,TCR|RTK|IIP,P35968,MI:0190(interaction type)
P49765,RTK,P16333,MI:0190(interaction type)
P15692,RTK,P46108,MI:0190(interaction type)
P15692,RTK,P46109,MI:0190(interaction type)
P15692,RTK,P35916,MI:0190(interaction type)
P29965,IIP,P25942,MI:0914(association)
P46109,TCR|RTK|IIP,P49765,MI:0190(interaction type)
P49765,RTK,P35916,MI:0190(interaction type)
P46108,TCR|RTK|IIP,P49765,MI:0190(interaction type)
Q9BSJ2,TCR|RTK|IIP,Q96CW5,MI:0190(interaction type)
P06239,TCR|RTK,P01730,MI:0914(association)
Q9BSJ2,TCR|RTK,Q9UGJ1,MI:0190(interaction type)
Q9BSJ2,TCR|RTK,Q96RT8,MI:0190(interaction type)
Q9BSJ2,TCR|RTK,Q96RT7,MI:0190(interaction type)
Q96CW5,TCR|RTK,Q9UGJ1,MI:0190(interaction type)
Q96CW5,TCR|RTK,Q96RT8,MI:0190(interaction type)
Q96RT8,TCR|RTK,Q9UGJ1,MI:0190(interaction type)
Q96RT7,TCR|RTK,Q96CW5,MI:0190(interaction type)
Q96RT7,TCR|RTK,Q9UGJ1,MI:0190(interaction type)
Q96RT7,TCR|RTK,Q96RT8,MI:0190(interaction type)
P61160,TGF,P61158,MI:0190(interaction type)
P61160,TGF,O15144,MI:0190(interaction type)
P61160,TGF,O15145,MI:0190(interaction type)
P61160,TGF,P59998,MI:0190(interaction type)
P61160,TGF,O15511,MI:0190(interaction type)
P61158,TGF,O15144,MI:0190(interaction type)
P61158,TGF,O15145,MI:0190(interaction type)
P61158,TGF,P59998,MI:0190(interaction type)
P61158,TGF,O15511,MI:0190(interaction type)
O15144,TGF,O15145,MI:0190(interaction type)
O15144,TGF,P59998,MI:0190(interaction type)
O15144,TGF,O15511,MI:0190(interaction type)
P06729,TGF,P19256,MI:0914(association)
P59998,TGF,O15511,MI:0190(interaction type)
O15145,TGF,P59998,MI:0190(interaction type)
P35579,TGF,O43516,MI:0190(interaction type)
O15145,TGF,O15511,MI:0190(interaction type)
P05362,TGF,Q9Y490,MI:0190(interaction type)
P49815,RTK|WNT/Wingless,Q92574,MI:0217(phosphorylation reaction)
Q9BVC4,RTK,Q8TB45,MI:0190(interaction type)
Q9BVC4,RTK,Q8N122,MI:0190(interaction type)
