"Gene Name","Tclin","Tier 1","Tclin & Tier 1","Tclin & Tchem","Tchem","Tier 1 & 2","Tier 1 & 2 & 3A"
"KCND3","100.0","90.19","99.98","99.90","88.73","89.53","88.48"
"CHRNA1","100.0","99.65","99.77","99.44","83.27","99.21","99.00"
"GABRB3","99.99","99.77","99.66","99.77","81.46","99.65","99.76"
"GABRB1","99.98","99.62","99.56","99.82","82.82","99.44","99.37"
"CHRNA4","99.98","99.58","99.53","99.76","87.21","99.85","99.83"
"GABRA1","99.97","99.87","99.81","99.59","80.05","99.57","99.66"
"CACNA1E","99.97","98.21","98.39","97.51","88.52","97.40","95.31"
"GABRB2","99.96","99.77","99.78","99.24","79.34","99.23","99.69"
"GABRG2","99.96","99.58","99.66","99.73","80.90","99.15","99.59"
"KCNK3","99.95","99.32","99.72","99.82","93.77","99.42","99.34"
"CHRND","99.95","98.63","98.41","99.17","88.67","98.29","98.57"
"HCN4","99.94","91.80","99.19","99.66","90.71","98.62","99.02"
"CHRNA5","99.94","98.64","98.84","99.23","93.64","99.24","99.22"
"NDUFS5","99.93","68.92","99.84","98.41","71.13","69.46","52.89"
"CHRNB2","99.93","99.68","99.65","99.05","85.57","99.55","99.26"
"KCND1","99.92","82.59","99.59","98.34","78.87","78.23","70.57"
"CHRNA3","99.92","99.02","98.95","99.06","90.13","98.56","98.91"
"PTGS1","99.91","99.98","100.0","99.55","92.60","99.97","99.98"
"ADRA1A","99.91","99.12","99.04","99.35","86.58","98.99","98.69"
"NDUFB6","99.90","68.33","99.81","97.88","70.07","75.57","63.48"
"GRIA3","99.90","98.27","98.17","97.25","89.70","96.32","95.30"
"KCNK9","99.89","99.06","99.16","99.45","88.17","98.90","98.23"
"HCN2","99.89","90.83","98.94","99.45","90.57","93.20","91.02"
"HSD11B1","99.88","100.0","99.99","99.89","95.65","100.0","99.98"
"GRIK2","99.88","99.27","99.35","99.62","91.67","99.11","98.85"
"GABRA2","99.87","99.53","99.70","99.90","82.55","99.32","99.57"
"ATP1A1","99.87","96.81","99.29","96.15","93.13","94.67","93.64"
"ADRB2","99.86","99.20","99.23","98.58","84.79","98.53","98.94"
"GRIA4","99.86","98.28","98.15","97.19","85.99","96.53","95.14"
"ADRB1","99.85","99.56","99.52","98.96","79.12","98.73","98.98"
"ADORA2A","99.85","98.55","98.60","99.19","90.37","98.33","98.28"
"ADRB3","99.84","99.64","99.50","98.90","82.36","98.95","98.65"
"GRIA2","99.84","98.56","98.40","97.44","86.40","97.69","94.78"
"CA12","99.83","99.74","99.69","99.69","91.86","99.55","99.75"
"ADRA1B","99.83","98.67","98.58","99.32","84.66","97.99","98.39"
"NDUFS2","99.82","76.25","99.76","99.39","79.80","78.80","69.78"
"KCNH1","99.82","95.61","99.24","99.22","91.08","96.69","95.90"
"ABCC8","99.81","99.70","99.88","97.06","92.46","99.10","99.06"
"CHRNE","99.81","99.25","98.86","99.49","86.78","99.10","99.81"
"SCNN1G","99.80","94.58","98.48","99.78","93.21","98.77","98.77"
"XDH","99.80","97.90","98.18","97.88","93.57","97.84","97.85"
"CALCRL","99.79","98.97","99.49","99.68","97.29","98.43","96.61"
"NDUFAF3","99.79","70.39","98.78","96.95","71.05","79.55","72.92"
"DDC","99.78","99.24","99.41","99.85","94.61","99.61","99.71"
"CHRNA6","99.78","98.56","98.10","98.96","95.62","98.98","98.24"
"PDE1A","99.77","90.64","98.50","98.93","89.81","97.76","97.63"
"GRIK1","99.77","98.06","98.33","95.91","90.46","97.00","94.68"
"GABRQ","99.76","99.63","99.15","96.83","85.38","98.25","95.97"
"HTR2A","99.76","99.15","99.08","99.58","87.96","98.65","98.95"
"CACNA1C","99.75","98.47","98.46","98.06","90.94","98.41","98.18"
"CACNA1A","99.75","95.97","95.41","94.37","91.22","93.52","93.57"
"MT-ND6","99.74","72.71","99.44","97.04","77.49","79.19","69.69"
"HCN1","99.74","89.48","98.84","98.48","87.37","98.16","97.17"
"MT-ND4","99.73","81.95","99.68","97.05","86.85","85.23","75.66"
"KCNJ11","99.73","97.62","98.08","97.29","93.94","97.47","98.29"
