"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","neurotransmitter receptor activity","GO:0030594","true","4.955264140804959e-115","114.30493319045489","100","83","48","63187","P18507,P23416,P21918,P28472,P35367,O00591,P08908,P47869,P18505,Q12879,P08173,O15399,P14867,Q8N1C3,P47870,P21728,P14416,P46098,P31644,P20309,O14764,P08172,O60391,Q13224,P50406,P08588,P28566,Q14957,P35462,P28222,Q9UN88,P11229,P28223,O75311,P21917,P48167,P28221,Q16445,P28335,P23415,P78334,P36544,P34903,P30939,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","postsynaptic neurotransmitter receptor activity","GO:0098960","false","6.437902507095592e-73","72.1912556043747","72","83","32","63187","P18507,P23416,P21918,P47869,P18505,Q12879,P08173,O15399,P14867,P47870,P21728,P14416,P46098,P31644,P20309,O14764,P08172,O60391,Q13224,P08588,Q14957,P35462,P11229,O75311,P21917,P48167,Q16445,P23415,P36544,Q99928,P48169,Q8TCU5"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","true","3.200466274536108e-70","69.49478674489689","1269","83","55","63187","P18507,P23416,P21918,P28472,P35367,O00591,P08908,P47869,P18505,P35348,Q12879,P08173,O15399,P14867,Q8N1C3,P47870,P08913,P21728,P14416,P35368,P46098,P31644,P20309,O14764,P08172,O60391,Q13224,P50406,P08588,P28566,Q14957,P35462,P25100,P28222,Q9UN88,P11229,P07550,P28223,O75311,P21917,P48167,P28221,Q16445,P28335,P13945,P23415,P78334,P36544,P34903,P30939,Q99928,Q05586,P48169,Q8TCU5,P18089"
"GO:MF","molecular transducer activity","GO:0060089","false","2.460080738783464e-66","65.60905063930608","1491","83","55","63187","P18507,P23416,P21918,P28472,P35367,O00591,P08908,P47869,P18505,P35348,Q12879,P08173,O15399,P14867,Q8N1C3,P47870,P08913,P21728,P14416,P35368,P46098,P31644,P20309,O14764,P08172,O60391,Q13224,P50406,P08588,P28566,Q14957,P35462,P25100,P28222,Q9UN88,P11229,P07550,P28223,O75311,P21917,P48167,P28221,Q16445,P28335,P13945,P23415,P78334,P36544,P34903,P30939,Q99928,Q05586,P48169,Q8TCU5,P18089"
"GO:MF","signaling receptor activity","GO:0038023","false","2.460080738783464e-66","65.60905063930608","1491","83","55","63187","P18507,P23416,P21918,P28472,P35367,O00591,P08908,P47869,P18505,P35348,Q12879,P08173,O15399,P14867,Q8N1C3,P47870,P08913,P21728,P14416,P35368,P46098,P31644,P20309,O14764,P08172,O60391,Q13224,P50406,P08588,P28566,Q14957,P35462,P25100,P28222,Q9UN88,P11229,P07550,P28223,O75311,P21917,P48167,P28221,Q16445,P28335,P13945,P23415,P78334,P36544,P34903,P30939,Q99928,Q05586,P48169,Q8TCU5,P18089"
"GO:MF","extracellular ligand-gated monoatomic ion channel activity","GO:0005230","false","1.18796819213318e-63","62.925195187440664","74","83","29","63187","P18507,P23416,P28472,O00591,P47869,P18505,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","transmitter-gated monoatomic ion channel activity","GO:0022824","false","7.831056661475546e-61","60.10617963369093","61","83","27","63187","P18507,P23416,P28472,P47869,P18505,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","transmitter-gated channel activity","GO:0022835","false","7.831056661475546e-61","60.10617963369093","61","83","27","63187","P18507,P23416,P28472,P47869,P18505,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","ligand-gated monoatomic ion channel activity","GO:0015276","false","7.408375753787984e-54","53.13027699829451","171","83","30","63187","P18507,P23416,P28472,O00591,P47869,P18505,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
"GO:MF","ligand-gated channel activity","GO:0022834","false","8.966223169995879e-54","53.04739045571208","172","83","30","63187","P18507,P23416,P28472,O00591,P47869,P18505,Q12809,Q12879,O15399,P14867,Q8N1C3,P47870,P46098,P31644,O14764,O60391,Q13224,Q14957,Q9UN88,O75311,P48167,Q16445,P23415,P78334,P36544,P34903,Q99928,Q05586,P48169,Q8TCU5"
