Gene,Ensembl,Gene description,Uniprot,Pathology prognostics - Pancreatic cancer,TAU score - Tissue
MET,ENSG00000105976,"MET proto-oncogene, receptor tyrosine kinase",['P08581'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.21e-7'}",0.46
MYEOV,ENSG00000172927,Myeloma overexpressed,['Q96EZ4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.54e-7'}",0.81
EPS8,ENSG00000151491,Epidermal growth factor receptor pathway substrate 8,['Q12929'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.33e-7'}",0.24
ZNF488,ENSG00000265763,Zinc finger protein 488,['Q96MN9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.02e-7'}",0.88
KPNA4,ENSG00000186432,Karyopherin subunit alpha 4,['O00629'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.03e-6'}",0.47
FZD6,ENSG00000164930,Frizzled class receptor 6,['O60353'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.20e-6'}",0.28
LY6D,ENSG00000167656,Lymphocyte antigen 6 family member D,['Q14210'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.94e-6'}",0.79
ANLN,ENSG00000011426,"Anillin, actin binding protein",['Q9NQW6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.00e-6'}",0.76
INSIG2,ENSG00000125629,Insulin induced gene 2,['Q9Y5U4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.19e-6'}",0.32
ARMC10,ENSG00000170632,Armadillo repeat containing 10,['Q8N2F6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.49e-6'}",0.15
WNT7A,ENSG00000154764,Wnt family member 7A,['O00755'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.03e-6'}",0.83
CHEK1,ENSG00000149554,Checkpoint kinase 1,['O14757'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.10e-6'}",0.62
MRPL3,ENSG00000114686,Mitochondrial ribosomal protein L3,['P09001'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.51e-6'}",0.11
LAMA3,ENSG00000053747,Laminin subunit alpha 3,['Q16787'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.58e-6'}",0.40
COMMD2,ENSG00000114744,COMM domain containing 2,['Q86X83'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.69e-6'}",0.17
ZFP91,ENSG00000186660,"ZFP91 zinc finger protein, atypical E3 ubiquitin ligase",['Q96JP5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.74e-6'}",0.27
CA12,ENSG00000074410,Carbonic anhydrase 12,['O43570'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.80e-6'}",0.58
CDK6,ENSG00000105810,Cyclin dependent kinase 6,['Q00534'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.86e-6'}",0.56
AHNAK2,ENSG00000185567,AHNAK nucleoprotein 2,['Q8IVF2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.05e-6'}",0.57
JAG1,ENSG00000101384,Jagged canonical Notch ligand 1,['P78504'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.10e-6'}",0.27
RACGAP1,ENSG00000161800,Rac GTPase activating protein 1,['Q9H0H5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.12e-6'}",0.48
CDK1,ENSG00000170312,Cyclin dependent kinase 1,['P06493'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.15e-6'}",0.58
CCNA2,ENSG00000145386,Cyclin A2,['P20248'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.43e-6'}",0.65
GPR87,ENSG00000138271,G protein-coupled receptor 87,['Q9BY21'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.62e-6'}",0.76
GPRC5A,ENSG00000013588,G protein-coupled receptor class C group 5 member A,['Q8NFJ5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.63e-6'}",0.59
FAM83A,ENSG00000147689,Family with sequence similarity 83 member A,['Q86UY5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '4.99e-6'}",0.84
RIPK2,ENSG00000104312,Receptor interacting serine/threonine kinase 2,['O43353'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.00e-6'}",0.34
ITGB6,ENSG00000115221,Integrin subunit beta 6,['P18564'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.03e-6'}",0.63
BMAL2,ENSG00000029153,Basic helix-loop-helix ARNT like 2,['Q8WYA1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.29e-6'}",0.64
PLAAT3,ENSG00000176485,Phospholipase A and acyltransferase 3,['P53816'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.58e-6'}",0.38
TUBA1C,ENSG00000167553,Tubulin alpha 1c,['Q9BQE3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.64e-6'}",0.31
SERPINB5,ENSG00000206075,Serpin family B member 5,['P36952'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.71e-6'}",0.76
SLC35F2,ENSG00000110660,Solute carrier family 35 member F2,['Q8IXU6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.92e-6'}",0.46
PLAAT4,ENSG00000133321,Phospholipase A and acyltransferase 4,['Q9UL19'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.26e-6'}",0.32
MMP28,ENSG00000271447,Matrix metallopeptidase 28,['Q9H239'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.28e-6'}",0.50
EIF2A,ENSG00000144895,Eukaryotic translation initiation factor 2A,['Q9BY44'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.57e-6'}",0.12
RPE,ENSG00000197713,Ribulose-5-phosphate-3-epimerase,['Q96AT9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.00e-6'}",0.10
ERGIC2,ENSG00000087502,ERGIC and golgi 2,['Q96RQ1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.02e-6'}",0.12
B3GNT5,ENSG00000176597,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",['Q9BYG0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.23e-6'}",0.51
LDHA,ENSG00000134333,Lactate dehydrogenase A,['P00338'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.09e-6'}",0.23
IPO7,ENSG00000205339,Importin 7,['O95373'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.38e-6'}",0.25
ANXA2,ENSG00000182718,Annexin A2,['P07355'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.47e-6'}",0.23
CDCA5,ENSG00000146670,Cell division cycle associated 5,['Q96FF9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.72e-6'}",0.73
VPS26A,ENSG00000122958,VPS26 retromer complex component A,['O75436'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.18e-6'}",0.11
H3C10,ENSG00000278828,H3 clustered histone 10,['P68431'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.25e-6'}",0.59
KIF4A,ENSG00000090889,Kinesin family member 4A,['O95239'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.44e-6'}",0.77
DLGAP5,ENSG00000126787,DLG associated protein 5,['Q15398'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.94e-6'}",0.79
ITGA2,ENSG00000164171,Integrin subunit alpha 2,['P17301'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.02e-5'}",0.45
SERP1,ENSG00000120742,Stress associated endoplasmic reticulum protein 1,['Q9Y6X1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.03e-5'}",0.24
PERP,ENSG00000112378,P53 apoptosis effector related to PMP22,['Q96FX8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.05e-5'}",0.49
KRT16,ENSG00000186832,Keratin 16,['P08779'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.09e-5'}",0.79
AP3S1,ENSG00000177879,Adaptor related protein complex 3 subunit sigma 1,['Q92572'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.13e-5'}",0.21
PPP2R3A,ENSG00000073711,Protein phosphatase 2 regulatory subunit B''alpha,['Q06190'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.14e-5'}",0.63
TRIM59,ENSG00000213186,Tripartite motif containing 59,['Q8IWR1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.15e-5'}",0.61
FAM111B,ENSG00000189057,FAM111 trypsin like peptidase B,['Q6SJ93'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.17e-5'}",0.75
SPDL1,ENSG00000040275,Spindle apparatus coiled-coil protein 1,['Q96EA4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.19e-5'}",0.51
TGFA,ENSG00000163235,Transforming growth factor alpha,['P01135'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.20e-5'}",0.51
YWHAZ,ENSG00000164924,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,['P63104'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.20e-5'}",0.18
TES,ENSG00000135269,Testin LIM domain protein,['Q9UGI8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.20e-5'}",0.37
RAD51AP1,ENSG00000111247,RAD51 associated protein 1,['Q96B01'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.22e-5'}",0.68
ATR,ENSG00000175054,ATR serine/threonine kinase,['Q13535'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.23e-5'}",0.38
HRH1,ENSG00000196639,Histamine receptor H1,['P35367'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.27e-5'}",0.52
NT5E,ENSG00000135318,5'-nucleotidase ecto,['P21589'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.32e-5'}",0.43
DSG3,ENSG00000134757,Desmoglein 3,['P32926'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.43e-5'}",0.86
CENPN,ENSG00000166451,Centromere protein N,['Q96H22'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.46e-5'}",0.54
C16orf74,ENSG00000154102,Chromosome 16 open reading frame 74,['Q96GX8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.54e-5'}",0.53
MRPS22,ENSG00000175110,Mitochondrial ribosomal protein S22,['P82650'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.55e-5'}",0.24
PRPF40A,ENSG00000196504,Pre-mRNA processing factor 40 homolog A,[],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.58e-5'}",0.24
CCNB2,ENSG00000157456,Cyclin B2,['O95067'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.74e-5'}",0.70
GLUD1,ENSG00000148672,Glutamate dehydrogenase 1,['P00367'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.76e-5'}",0.38
UBE2E3,ENSG00000170035,Ubiquitin conjugating enzyme E2 E3,['Q969T4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.78e-5'}",0.22
B4GALT5,ENSG00000158470,"Beta-1,4-galactosyltransferase 5",['O43286'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.87e-5'}",0.33
MRPL19,ENSG00000115364,Mitochondrial ribosomal protein L19,['P49406'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.97e-5'}",0.22
SLC5A3,ENSG00000198743,Solute carrier family 5 member 3,['P53794'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '1.98e-5'}",0.49
NMD3,ENSG00000169251,NMD3 ribosome export adaptor,['Q96D46'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.03e-5'}",0.25
AP1S3,ENSG00000152056,Adaptor related protein complex 1 subunit sigma 3,['Q96PC3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.08e-5'}",0.69
CHMP2B,ENSG00000083937,Charged multivesicular body protein 2B,['Q9UQN3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.11e-5'}",0.18
PAQR5,ENSG00000137819,Progestin and adipoQ receptor family member 5,['Q9NXK6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.15e-5'}",0.70
P2RY2,ENSG00000175591,Purinergic receptor P2Y2,['P41231'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.19e-5'}",0.64
ECT2,ENSG00000114346,Epithelial cell transforming 2,['Q9H8V3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.24e-5'}",0.45
MYO5B,ENSG00000167306,Myosin VB,['Q9ULV0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.26e-5'}",0.45
METAP1,ENSG00000164024,Methionyl aminopeptidase 1,['P53582'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.28e-5'}",0.21
UBE2H,ENSG00000186591,Ubiquitin conjugating enzyme E2 H,['P62256'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.33e-5'}",0.17
PALB2,ENSG00000083093,Partner and localizer of BRCA2,['Q86YC2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.35e-5'}",0.22
BUB1,ENSG00000169679,BUB1 mitotic checkpoint serine/threonine kinase,['O43683'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.37e-5'}",0.76
ADAM9,ENSG00000168615,ADAM metallopeptidase domain 9,['Q13443'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.52e-5'}",0.19
CEP55,ENSG00000138180,Centrosomal protein 55,['Q53EZ4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.66e-5'}",0.74
TPX2,ENSG00000088325,TPX2 microtubule nucleation factor,['Q9ULW0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.68e-5'}",0.70
PRC1,ENSG00000198901,Protein regulator of cytokinesis 1,['O43663'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.76e-5'}",0.52
SLK,ENSG00000065613,STE20 like kinase,['Q9H2G2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.77e-5'}",0.25
ADGRG6,ENSG00000112414,Adhesion G protein-coupled receptor G6,['Q86SQ4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.78e-5'}",0.63
ZWILCH,ENSG00000174442,Zwilch kinetochore protein,['Q9H900'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.90e-5'}",0.56
ARHGAP11A,ENSG00000198826,Rho GTPase activating protein 11A,['Q6P4F7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.92e-5'}",0.68
CD59,ENSG00000085063,CD59 molecule (CD59 blood group),['P13987'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '2.92e-5'}",0.19
SERPINB7,ENSG00000166396,Serpin family B member 7,['O75635'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.03e-5'}",0.90
FOXM1,ENSG00000111206,Forkhead box M1,['Q08050'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.03e-5'}",0.68
DDX60L,ENSG00000181381,DExD/H-box 60 like,['Q5H9U9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.04e-5'}",0.56
ARF6,ENSG00000165527,ADP ribosylation factor 6,['P62330'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.10e-5'}",0.27
BACH1,ENSG00000156273,BTB domain and CNC homolog 1,['O14867'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.11e-5'}",0.38
SPTBN2,ENSG00000173898,"Spectrin beta, non-erythrocytic 2",['O15020'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.14e-5'}",0.61
PRMT3,ENSG00000185238,Protein arginine methyltransferase 3,['O60678'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '3.17e-5'}",0.32
