From	Entry
9606.ENSP00000467024	P54725
9606.ENSP00000219097	Q9Y5N6
9606.ENSP00000224337	Q8WV28
9606.ENSP00000355014	Q8NG27
9606.ENSP00000378350	Q9UJX2
9606.ENSP00000300291	O43809
9606.ENSP00000279281	Q9UID3
9606.ENSP00000283290	Q9NT62
9606.ENSP00000478474	Q969M7
9606.ENSP00000379563	P30536
9606.ENSP00000281834	P23510
9606.ENSP00000290524	P48382
9606.ENSP00000379108	Q9H903
9606.ENSP00000386331	Q13402
9606.ENSP00000401435	Q5VIR6
9606.ENSP00000415151	Q13951
9606.ENSP00000346027	P46778
9606.ENSP00000325074	P63151
9606.ENSP00000408295	P40937
9606.ENSP00000349142	P36542
9606.ENSP00000205061	Q92896
9606.ENSP00000287394	Q6PL18
9606.ENSP00000326767	Q71SY5
9606.ENSP00000262510	Q86WI3
9606.ENSP00000357112	O14862
9606.ENSP00000369293	P01589
9606.ENSP00000321656	P30307
9606.ENSP00000320543	O95208
9606.ENSP00000357622	Q53ET0
9606.ENSP00000379946	Q9NZM4
9606.ENSP00000053867	P28799
9606.ENSP00000477715	Q9BZB8
9606.ENSP00000264157	O60583
9606.ENSP00000219244	Q92583
9606.ENSP00000425133	Q92540
9606.ENSP00000379228	Q76N89
9606.ENSP00000229214	Q13601
9606.ENSP00000262030	P06576
9606.ENSP00000355922	P49454
9606.ENSP00000377275	Q14789
9606.ENSP00000363827	P98160
9606.ENSP00000452454	P52655
9606.ENSP00000364080	P01920
9606.ENSP00000167106	Q7L8A9
9606.ENSP00000357308	A0A0A0MRK5
9606.ENSP00000306884	O14625
9606.ENSP00000337446	Q14849
9606.ENSP00000362299	P17813
9606.ENSP00000262726	Q5THR3
9606.ENSP00000469863	Q9Y463
9606.ENSP00000299163	Q9NWT6
9606.ENSP00000271555	Q14814
9606.ENSP00000352561	P30988
9606.ENSP00000260372	Q9NVX0
9606.ENSP00000256592	P01222
9606.ENSP00000314067	Q13177
9606.ENSP00000262848	P51817
9606.ENSP00000388806	P23588
9606.ENSP00000310008	Q6NVH7
9606.ENSP00000379709	Q5T5U3
9606.ENSP00000384018	Q9Y618
9606.ENSP00000363157	O95150
9606.ENSP00000009530	P04233
9606.ENSP00000386738	Q9P0J7
9606.ENSP00000337838	Q9NQC3
9606.ENSP00000448054	Q8NFH4
9606.ENSP00000320117	Q15642
9606.ENSP00000277458	Q9NWX5
9606.ENSP00000261884	Q15650
9606.ENSP00000378721	O94979
9606.ENSP00000348089	Q03468
9606.ENSP00000219070	P08253
9606.ENSP00000361930	P31946
9606.ENSP00000358149	Q9Y3E2
9606.ENSP00000173229	O95631
9606.ENSP00000432660	P23528
9606.ENSP00000223366	P35557
9606.ENSP00000303830	P06213
9606.ENSP00000385636	O75147
9606.ENSP00000416429	P62910
9606.ENSP00000414624	Q14558
9606.ENSP00000284440	P09936
9606.ENSP00000298310	O60524
9606.ENSP00000353292	P37088
9606.ENSP00000356520	Q08211
9606.ENSP00000393922	Q8N2Y8
9606.ENSP00000463559	O14950
9606.ENSP00000444596	O75592
9606.ENSP00000335620	P08263
9606.ENSP00000451040	P49763
9606.ENSP00000335304	P36957
9606.ENSP00000312814	Q14681
9606.ENSP00000306320	Q9BXV9
9606.ENSP00000262053	P18846
9606.ENSP00000313983	Q9BZ95
9606.ENSP00000266126	P49770
9606.ENSP00000310406	Q13671
9606.ENSP00000264717	Q14397
9606.ENSP00000234160	Q9H8Y8
9606.ENSP00000321546	Q969J3
9606.ENSP00000375892	P31751
9606.ENSP00000356652	Q9HB71
9606.ENSP00000463058	Q9Y5S9
9606.ENSP00000339883	Q14739
9606.ENSP00000398824	Q96BD5
9606.ENSP00000369411	P40938
9606.ENSP00000416683	P35858
9606.ENSP00000401277	Q75N03
9606.ENSP00000262302	Q9Y5Y2
9606.ENSP00000448665	P35638
9606.ENSP00000262809	P55199
9606.ENSP00000358400	Q9NU22
9606.ENSP00000467579	Q969T9
9606.ENSP00000284818	Q9Y6Y9
9606.ENSP00000320171	P14618
9606.ENSP00000371219	Q15669
9606.ENSP00000340347	P36402
9606.ENSP00000310332	P0C2W1
9606.ENSP00000228644	P13349
9606.ENSP00000216832	Q9H307
9606.ENSP00000239940	P35080
9606.ENSP00000473001	O14526
9606.ENSP00000313829	Q07666
9606.ENSP00000238112	Q9UKF6
9606.ENSP00000335062	Q15116
9606.ENSP00000358089	Q01085
9606.ENSP00000259365	P28289
9606.ENSP00000233078	Q96EP5
9606.ENSP00000380638	Q14289
9606.ENSP00000364721	Q15691
9606.ENSP00000362717	P50458
9606.ENSP00000265963	P32780
9606.ENSP00000279804	Q16619
9606.ENSP00000376765	Q9Y6X2
9606.ENSP00000403172	Q02878
9606.ENSP00000336606	Q9Y620
9606.ENSP00000434024	P16104
9606.ENSP00000317891	Q15025
9606.ENSP00000231238	Q99614
9606.ENSP00000345719	O14656
9606.ENSP00000380903	Q96MS0
9606.ENSP00000366248	O00230
9606.ENSP00000412130	Q9Y6F6
9606.ENSP00000362441	P46100
9606.ENSP00000243349	Q8NER5
9606.ENSP00000428564	O95487
9606.ENSP00000359621	Q8TDD5
9606.ENSP00000334145	P13726
9606.ENSP00000339191	Q03135
