"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","true","1.3772766481722437e-165","164.86097881594705","1269","190","127","63187","P49286,Q15825,A8MPY1,P43119,Q04844,Q05901,Q9H244,Q13003,O43613,P47901,P28476,O43614,P49019,P11230,O95838,P08100,P24046,P41595,Q07001,Q99835,P30542,Q8TDS4,P32745,P32297,Q9UGM1,O00222,O00254,P47898,Q14832,O15118,P48039,P29275,P41180,P50052,P49683,Q9ULK0,P30532,Q9Y3N9,P25021,Q96RJ0,P50391,P21731,P30411,P32238,Q8NGG4,Q5NUL3,P30559,Q14831,Q8NGW1,P43088,P48058,Q9GZZ6,P42262,Q9UBS5,P41231,O95665,P42263,P17787,P25103,P21462,P30556,Q14833,P21452,O95477,P47871,O75899,Q15822,P43681,P30926,Q13002,P42261,P41594,P07510,P29274,Q13255,Q8WXA8,P51681,Q9H3N8,P22888,P34995,Q9Y5Y4,O95264,O94910,P43220,O43424,Q6W5P4,P25105,Q16478,P04000,P16473,P0DMS8,P30968,Q9BXA5,P24530,P41146,P02708,P35372,P29371,O00574,Q02643,P61073,Q15761,P25024,Q03431,O14842,P30988,P25929,P98161,Q14416,P35346,Q9Y5N1,P37288,Q9H461,P25116,O60353,P25106,Q9UHM6,P30874,P35408,P55085,Q14330,P49682,A5X5Y0,P08912,Q13639,O60241,Q9NYQ7"
"GO:MF","signaling receptor activity","GO:0038023","false","2.334432700788938e-156","155.63181864180055","1491","190","127","63187","P49286,Q15825,A8MPY1,P43119,Q04844,Q05901,Q9H244,Q13003,O43613,P47901,P28476,O43614,P49019,P11230,O95838,P08100,P24046,P41595,Q07001,Q99835,P30542,Q8TDS4,P32745,P32297,Q9UGM1,O00222,O00254,P47898,Q14832,O15118,P48039,P29275,P41180,P50052,P49683,Q9ULK0,P30532,Q9Y3N9,P25021,Q96RJ0,P50391,P21731,P30411,P32238,Q8NGG4,Q5NUL3,P30559,Q14831,Q8NGW1,P43088,P48058,Q9GZZ6,P42262,Q9UBS5,P41231,O95665,P42263,P17787,P25103,P21462,P30556,Q14833,P21452,O95477,P47871,O75899,Q15822,P43681,P30926,Q13002,P42261,P41594,P07510,P29274,Q13255,Q8WXA8,P51681,Q9H3N8,P22888,P34995,Q9Y5Y4,O95264,O94910,P43220,O43424,Q6W5P4,P25105,Q16478,P04000,P16473,P0DMS8,P30968,Q9BXA5,P24530,P41146,P02708,P35372,P29371,O00574,Q02643,P61073,Q15761,P25024,Q03431,O14842,P30988,P25929,P98161,Q14416,P35346,Q9Y5N1,P37288,Q9H461,P25116,O60353,P25106,Q9UHM6,P30874,P35408,P55085,Q14330,P49682,A5X5Y0,P08912,Q13639,O60241,Q9NYQ7"
"GO:MF","molecular transducer activity","GO:0060089","false","2.334432700788938e-156","155.63181864180055","1491","190","127","63187","P49286,Q15825,A8MPY1,P43119,Q04844,Q05901,Q9H244,Q13003,O43613,P47901,P28476,O43614,P49019,P11230,O95838,P08100,P24046,P41595,Q07001,Q99835,P30542,Q8TDS4,P32745,P32297,Q9UGM1,O00222,O00254,P47898,Q14832,O15118,P48039,P29275,P41180,P50052,P49683,Q9ULK0,P30532,Q9Y3N9,P25021,Q96RJ0,P50391,P21731,P30411,P32238,Q8NGG4,Q5NUL3,P30559,Q14831,Q8NGW1,P43088,P48058,Q9GZZ6,P42262,Q9UBS5,P41231,O95665,P42263,P17787,P25103,P21462,P30556,Q14833,P21452,O95477,P47871,O75899,Q15822,P43681,P30926,Q13002,P42261,P41594,P07510,P29274,Q13255,Q8WXA8,P51681,Q9H3N8,P22888,P34995,Q9Y5Y4,O95264,O94910,P43220,O43424,Q6W5P4,P25105,Q16478,P04000,P16473,P0DMS8,P30968,Q9BXA5,P24530,P41146,P02708,P35372,P29371,O00574,Q02643,P61073,Q15761,P25024,Q03431,O14842,P30988,P25929,P98161,Q14416,P35346,Q9Y5N1,P37288,Q9H461,P25116,O60353,P25106,Q9UHM6,P30874,P35408,P55085,Q14330,P49682,A5X5Y0,P08912,Q13639,O60241,Q9NYQ7"
"GO:MF","G protein-coupled receptor activity","GO:0004930","false","3.1007613196148955e-123","122.50853166219338","838","190","95","63187","P49286,P43119,Q9H244,Q13003,O43613,P47901,O43614,P49019,O95838,P08100,P41595,Q99835,P30542,Q8TDS4,P32745,O00222,O00254,P47898,Q14832,P48039,P29275,P41180,P50052,P49683,Q9Y3N9,P25021,Q96RJ0,P50391,P21731,P30411,P32238,Q8NGG4,Q5NUL3,P30559,Q14831,Q8NGW1,P43088,Q9UBS5,P41231,O95665,P25103,P21462,P30556,Q14833,P21452,P47871,O75899,P41594,P29274,Q13255,P51681,Q9H3N8,P22888,P34995,Q9Y5Y4,O94910,P43220,Q6W5P4,P25105,P04000,P16473,P0DMS8,P30968,Q9BXA5,P24530,P41146,P35372,P29371,O00574,Q02643,P61073,Q15761,P25024,Q03431,O14842,P30988,P25929,Q14416,P35346,Q9Y5N1,P37288,Q9H461,P25116,O60353,P25106,Q9UHM6,P30874,P35408,P55085,Q14330,P49682,P08912,Q13639,O60241,Q9NYQ7"
"GO:MF","transmembrane transporter activity","GO:0022857","true","1.671360233978761e-78","77.7769299350449","1127","190","76","63187","Q15825,A8MPY1,Q04844,Q05901,Q13003,O94759,P28476,P11230,P24046,Q07001,P32297,Q9UGM1,Q13698,P23975,P30531,Q9ULK0,P30532,Q9H2X9,P48058,Q9GZZ6,P42262,P42263,P17787,O75762,Q99624,P82251,O95477,Q07837,Q13936,Q9UQD0,Q15822,P55011,P43681,P30926,Q13002,P42261,P48048,P07510,O60931,Q7L1W4,Q8WXA8,P55017,Q01118,Q99250,O95264,O43424,Q16478,Q9NP58,Q5XXA6,Q9Y345,Q9Y5Y9,P46721,P02708,P16615,Q9UPY5,Q9UI33,P35372,Q9UHW9,Q9UHI5,Q9H0U3,P36021,Q99808,Q14524,P98161,Q9NY46,Q06432,O14983,Q9UP95,P13866,Q15858,O00180,Q9Y6L6,A5X5Y0,Q9NPD5,O94956,Q14643"
"GO:MF","transporter activity","GO:0005215","false","6.459247198050977e-77","76.18981809451009","1239","190","77","63187","Q15825,A8MPY1,Q04844,Q05901,Q13003,O94759,P28476,P11230,P24046,Q07001,P32297,Q9UGM1,Q13698,O15118,P23975,P30531,Q9ULK0,P30532,Q9H2X9,P48058,Q9GZZ6,P42262,P42263,P17787,O75762,Q99624,P82251,O95477,Q07837,Q13936,Q9UQD0,Q15822,P55011,P43681,P30926,Q13002,P42261,P48048,P07510,O60931,Q7L1W4,Q8WXA8,P55017,Q01118,Q99250,O95264,O43424,Q16478,Q9NP58,Q5XXA6,Q9Y345,Q9Y5Y9,P46721,P02708,P16615,Q9UPY5,Q9UI33,P35372,Q9UHW9,Q9UHI5,Q9H0U3,P36021,Q99808,Q14524,P98161,Q9NY46,Q06432,O14983,Q9UP95,P13866,Q15858,O00180,Q9Y6L6,A5X5Y0,Q9NPD5,O94956,Q14643"
"GO:MF","monoatomic ion transmembrane transporter activity","GO:0015075","false","4.651966151565746e-74","73.33236345392676","727","190","65","63187","Q15825,A8MPY1,Q04844,Q05901,Q13003,O94759,P28476,P11230,P24046,Q07001,P32297,Q9UGM1,Q13698,P23975,P30531,Q9ULK0,P30532,Q9H2X9,P48058,Q9GZZ6,P42262,P42263,P17787,O75762,Q99624,Q13936,Q9UQD0,Q15822,P55011,P43681,P30926,Q13002,P42261,P48048,P07510,O60931,Q7L1W4,Q8WXA8,P55017,Q01118,Q99250,O95264,O43424,Q16478,Q5XXA6,Q9Y345,Q9Y5Y9,P02708,P16615,Q9UI33,P35372,Q9UHW9,Q9H0U3,Q99808,Q14524,P98161,Q9NY46,Q06432,O14983,Q9UP95,P13866,Q15858,O00180,A5X5Y0,Q14643"
"GO:MF","neurotransmitter receptor activity","GO:0030594","false","1.0756654493052357e-72","71.968322780819","100","190","40","63187","Q15825,A8MPY1,Q04844,Q05901,Q13003,P28476,P11230,P24046,P41595,Q07001,P32297,Q9UGM1,P47898,Q9ULK0,P30532,P25021,P48058,Q9GZZ6,P42262,Q9UBS5,P42263,P17787,Q15822,P43681,P30926,Q13002,P42261,P41594,P07510,Q13255,Q8WXA8,Q9H3N8,O95264,O43424,Q16478,P02708,Q9Y5N1,A5X5Y0,P08912,Q13639"
"GO:MF","gated channel activity","GO:0022836","false","6.405177769494739e-65","64.19346881233002","315","190","48","63187","Q15825,A8MPY1,Q04844,Q05901,Q13003,O94759,P28476,P11230,P24046,Q07001,P32297,Q9UGM1,Q13698,Q9ULK0,P30532,P48058,Q9GZZ6,P42262,P42263,P17787,O75762,Q13936,Q9UQD0,Q15822,P43681,P30926,Q13002,P42261,P48048,P07510,Q8WXA8,Q01118,Q99250,O95264,O43424,Q16478,Q5XXA6,Q9Y5Y9,P02708,Q9UI33,P35372,Q14524,Q9NY46,Q06432,Q15858,O00180,A5X5Y0,Q14643"
"GO:MF","channel activity","GO:0015267","false","9.141601601530542e-65","64.03897770954276","507","190","54","63187","Q15825,A8MPY1,Q04844,Q05901,Q13003,O94759,P28476,P11230,P24046,Q07001,P32297,Q9UGM1,Q13698,Q9ULK0,P30532,Q9H2X9,P48058,Q9GZZ6,P42262,P42263,P17787,O75762,Q13936,Q9UQD0,Q15822,P55011,P43681,P30926,Q13002,P42261,P48048,P07510,Q7L1W4,Q8WXA8,Q01118,Q99250,O95264,O43424,Q16478,Q5XXA6,Q9Y5Y9,P02708,Q9UI33,P35372,Q9UHW9,Q14524,P98161,Q9NY46,Q06432,Q9UP95,Q15858,O00180,A5X5Y0,Q14643"
